# Table of coordinated (x, y) factor concentrations (Header file)
# random seed: 1 
timestep x y Activator Inhibitor
0 7 8 8.40724731112141299e-02 1.36457218409340053e-01
0 7 9 3.55794963592636460e-01 2.27350815022831942e-01
0 7 10 1.61000883193662958e-01 2.36885507085139446e-01
0 8 1 1.18172888159935319e-02 1.93278552380734936e-01
0 8 2 2.10459339604537943e-01 9.40196523756564595e-02
0 8 3 5.43808462227066691e-02 4.49909250178010089e-01
0 8 4 2.55057990464338191e-01 1.04545496275885053e-01
0 8 5 3.02824320017008264e-01 4.08519834188943443e-01
0 8 6 1.04090542546436682e-02 8.93226041389766356e-03
0 8 7 7.32308701996730038e-02 3.59417736380894914e-01
0 8 8 8.01137963148523258e-02 3.52302813926001268e-01
0 8 9 3.39087897638473745e-01 2.72351081789452221e-01
0 8 10 1.10299874011338284e-01 4.87797258908941711e-01
0 9 1 3.98905428853075505e-01 2.58299758474696495e-01
0 9 2 1.11597890123335375e-01 3.24253209049628177e-01
0 9 3 1.97449004929149796e-01 2.87922981394028332e-01
0 9 4 1.60622904672562627e-01 3.15473930635673472e-01
0 9 5 2.93925581032456473e-02 1.49302974811506672e-01
0 9 6 4.83951655075444576e-01 4.37767122117579621e-01
0 9 7 1.53193310166622965e-01 4.29257203178279645e-01
0 9 8 1.55181813676567026e-01 4.69644216067641229e-01
0 9 9 3.71921059333560566e-01 2.08086131382512751e-01
0 9 10 1.26179051139917675e-01 4.24013123183442087e-03
0 10 1 4.39358949104423302e-01 1.89582652992902889e-02
0 10 2 4.09707055306398615e-01 4.81100562590409009e-01
0 10 3 2.85140285122590098e-01 8.57585475888593129e-02
0 10 4 4.33890532217496683e-01 4.86887618079845819e-01
0 10 5 3.52011571165035675e-01 2.54436873038945244e-01
0 10 6 1.88984417171804031e-01 1.73465442281310833e-01
0 10 7 1.02880878647352347e-01 3.37076507123432068e-01
0 10 8 2.16475060550158138e-01 9.70593224925948017e-02
0 10 9 5.22121114207576564e-02 3.32978764139341299e-01
0 10 10 1.48036336541575775e-01 2.49899961118400793e-01
1 1 1 6.04639098505805467e-02 7.36692006443978364e-01
1 1 2 1.23633884030123831e+00 1.41388347085730204e+00
1 1 3 5.96635297728776215e-01 1.19616584901927903e+00
1 1 4 5.94904557386637500e-01 1.53849733863320948e+00
1 1 5 2.44522363238667717e-01 2.70174010837832435e-01
1 1 6 1.13779860520453413e+00 1.56054917498217915e+00
1 1 7 1.63648271207535090e+00 1.29860765340143258e+00
1 1 8 2.86606331329636199e-01 1.24912460469081399e+00
1 1 9 1.02942999571703692e-01 9.83890501099706771e-01
1 1 10 1.76851632815990101e+00 1.43600348625180230e+00
1 2 1 1.14506374470573595e-02 3.18078921647535873e-01
1 2 2 1.32355863806762786e+00 1.62447164667015231e+00
1 2 3 9.74697287087760156e-02 7.24062695236578069e-01
1 2 4 1.30683544086905752e-02 1.84424913087297082e-01
1 2 5 4.47721657592643540e-01 1.13672154205072662e+00
1 2 6 2.96836142856270802e-01 6.70966554404618831e-01
1 2 7 9.84514668019598749e-02 7.45345783298805409e-01
1 2 8 7.62351338201316175e-01 6.83695205324477917e-01
1 2 9 1.02929816387147577e+00 1.61782066386138013e+00
1 2 10 1.14879367427486767e+00 1.25694510132893322e+00
1 3 1 1.01633089619862971e+00 1.88136256879987185e+00
1 3 2 5.44004819126128886e-02 4.73268126458176230e-01
1 3 3 7.50761994640954944e-01 1.57735423268296437e+00
1 3 4 1.27852799294673014e+00 1.64071394137808224e+00
1 3 5 9.31589473767165943e-01 1.66232521659300625e+00
1 3 6 1.36515829919812925e-01 9.62683116195376942e-01
1 3 7 8.86780040860729812e-01 1.78714556329508301e+00
1 3 8 4.93049536280173450e-01 1.27207138063385417e+00
1 3 9 1.55366235681037128e-02 2.09353726924915329e-01
1 3 10 1.10387143180464697e+00 1.51736768751265627e+00
1 4 1 7.78533307105729183e-02 6.89430823485921662e-01
1 4 2 7.49209815982948335e-01 1.54196360588767400e+00
1 4 3 3.76217961232845788e-01 1.01524320970328352e+00
1 4 4 3.64543913754522442e-01 1.36147173081964823e+00
1 4 5 6.97443142713959241e-01 1.20449834356103458e+00
1 4 6 1.14907421538576737e+00 9.99471686907783208e-01
1 4 7 1.95692806604373451e-02 4.41546817774175315e-01
1 4 8 1.18506636138848842e+00 1.75421657327395364e+00
1 4 9 7.33313001752273763e-01 9.23958605911545883e-01
1 4 10 2.38030367358230965e-01 1.44491478375786286e+00
1 5 1 9.51344947889203318e-01 1.54841339739052875e+00
1 5 2 1.39762299487314046e+00 1.49182727512873892e+00
1 5 3 2.73737308285852188e-01 1.44680549050766327e+00
1 5 4 7.29297897491309466e-01 1.30522135162237451e+00
1 5 5 1.21175764848639553e-01 8.83052679443962929e-01
1 5 6 1.88648135616410917e+00 1.46970157839815752e+00
1 5 7 7.69313248834094465e-01 1.68727926695517816e+00
1 5 8 9.57357011416605674e-01 1.74270990027250083e+00
